epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,137.534,0.92485,0.7728,1.14246,0.84408,0.6,0.57214,0.18253,2.58512,1.60533,2.60009,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,139.55,0.81831,0.65754,1.12134,0.84265,0.6,0.58737,0.20284,2.60504,1.60131,2.61546,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,142.322,0.87862,0.80277,1.13099,0.84136,0.6,0.58361,0.20838,2.58071,1.56351,2.63899,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,145.919,0.75659,0.63005,1.05708,0.85196,0.6,0.60598,0.21543,2.68151,1.53764,2.72494,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,147.917,0.86373,0.72594,1.10516,0.73701,0.6,0.58067,0.20802,2.64273,1.5705,2.69091,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,149.98,0.88719,0.77722,1.09091,0.74862,0.59614,0.58085,0.19792,2.66072,1.57893,2.7147,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,151.835,0.94556,0.74652,1.16484,0.58237,0.7,0.57719,0.19664,2.6368,1.56628,2.70409,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,153.809,0.84751,0.83123,1.12146,0.58059,0.7,0.58666,0.21643,2.64996,1.55366,2.73128,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,155.606,0.78719,0.72468,1.07756,0.76366,0.5,0.61005,0.23182,2.6209,1.57797,2.71181,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,157.398,0.91256,0.75251,1.14827,0.92745,0.5,0.60923,0.22478,2.59909,1.56733,2.69448,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
